"","text","score","polarity"
"24","Nah ini, semua akan indah pada waktunya, kami bangga dengan pemerintahan Jokowi
#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri
#JokowiMajuBersamaIndonesia
#JokowiBapakInfrastruktur https://t.co/efKdv1JmMG",0,"Netral"
"25","Apresiasi dengan kinerja pemerintahan Presiden jokowi, terbaik ???? KAMI HADIR MENDUKUNG ? #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/m5MEMsAOOv",0,"Netral"
"26","Keberanian Jokowi Tarik Anak Muda Bawa Efek Positif di Pemerintahan https://t.co/oc7tVWWBLT",0,"Netral"
"27","Selama 34 tahun kemelut IMB gereja Damai Kristus, Alhamdulillah akhirnya selesai di tangan Gubernur @aniesbaswedan, yg tidak mampu diselesaikan oleh Gub @jokowi &amp; @basuki_btp.

Apa gak enak minoritas di bawah pemerintahan @aniesbaswedan ?? InsyaAllah #AniesPresiden2024 https://t.co/K8nGzh2nVQ",-1,"Negatif"
"28","Mantap! Dukung terus program dan kebijakan pemerintahan Presiden Jokowi. 
#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri
#JokowiMajuBersamaIndonesia
#JokowiBapakInfrastruktur https://t.co/gED3Hicih5",0,"Netral"
"29","Mari Kita dukung Pemerintahan Jokowi yang terbukti bekerja untuk masyarakat #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #ibukotapindah #indonesiamaju  #iknnusantara #indonesiabisa #otonomikhusus https://t.co/QSDGNOMo9J",0,"Netral"
"30","@ChannellHeri @Tery44117487 @bachrum_achmadi Dasar kadrun belatung lu !
Sudah dongok malah ngegas.

Namanya utang/pinjanan ada bunganya drun !
Emang kubilang junjunganmu SBY tdk bayar bunga.
Yg jelas dia wariskan utang Rp 2700 T ke Pemerintahan Jokowi yg wajib dibayar bunganya",0,"Netral"
"31","Infrastruktur di Indonesia Semakin Lebih Maju di Pemerintahan Jokowi, mantap Pak Jokowi

#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri
#JokowiMajuBersamaIndonesia
#JokowiBapakInfrastruktur https://t.co/wnQDvEUhXu",1,"Positif"
"32","Bukti kepedulian pemerintahan Jokowi terhadap masyarakat Indonesia
#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri
#JokowiMajuBersamaIndonesia
#JokowiBapakInfrastruktur https://t.co/vBjUkBT8QH",0,"Netral"
"33","Mayoritas masyarakat mengapresiasi kinerja Pemerintahan Jokowi #JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri
#JokowiMajuBersamaIndonesia
#JokowiBapakInfrastruktur https://t.co/WvvmrY0Qvs",0,"Netral"
"34","@CjChanelindo @dodi_owi @msaid_didu Hahahahahaha pemerintahan GAGAL

Jauh lebih baik zaman SBY

SBY 10
Jokowi 3",1,"Positif"
"35","@FSuferryandi @MurtadhaOne1 Lu kira yg skr ada di lingkaran pemerintahan jokowi bukan 9 naga?wakakak... lu lagi tunjuk hidung ke jokowi. Justru 9 naga enggak suka Anies jadi presiden. 🤣🤣🤣",0,"Netral"
"36","Tragedi Nanggala-402 disebut menipiskan kans Yudo Margono menjadi Panglima TNI, November tahun lalu.

Padahal, Yudo sempat digadang-gadang menjadi Panglima pertama dari Angkatan Laut di pemerintahan Jokowi.
#MajalahTempo https://t.co/v94qYYLeH9",0,"Netral"
"37","@SaropudinAde @yusuf_dumdum Apa urusanmu dan urusanku mikir masuk Kakbah atau tidak. Yang jelas sudah masuk akhir pemerintahan Jokowi. Sudah masuk memperjuangkan harapan baru, memperjuangkan pemimpin baru. Antitesa Jokowi.",0,"Netral"
"38","@jokowi Bpk. Presiden @jokowi mohon saya diundang menemui bpk, untuk menyampaikan penyelesaian masalah khusus Nasabah Jiwasraya.
Penyelesaian cara Restrukturisasi abai akan “Resiko Hukum dan Resiko Reputasi”. Ini sangat merugikan bagi Pemerintahan Indonesia Maju. Mr. Admin. Terimakasih",0,"Netral"
"39","Presiden Joko Widodo (Jokowi) meminta kepada seluruh jajaran pemerintahan untuk tidak mempersulit proses penanaman modal oleh para investor.

#investasi #realisasiinvestasi #PMA #PMDN #BKPM #Jokowi #tenagakerja
https://t.co/DsNz2WYQIv",-1,"Negatif"
"40","@GetaranNusa @hendrawini5 @maryshelparaiso Keren memang Presiden Jokowi, kami anak anak daerah mendukung kinerja Pemerintahan Jokowi #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/evlBKZQbPb",0,"Netral"
"41","@hendrawini5 @maryshelparaiso Keren memang Presiden Jokowi, kami anak anak daerah mendukung kinerja Pemerintahan Jokowi #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/evlBKZQbPb",0,"Netral"
"42","Miskin kan!! 

Skandal Jiwasraya terjadi sejak 2006. Pemerintahan saat itu, yang katanya KPK masih kuat kok gak bisa mengungkap?
KPK ngapain aja?
Sehingga perampok² Jiwasraya tersebut aman dan baru terungkap di era Presiden Jokowi.
#SahkanRUUPerampasanAset https://t.co/ES8QBxpuN8",0,"Netral"
"43","Jos laah pemerintahan jokowi mah #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #CerdasPakaiBBM #BijakPakaiBBM #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/kPLvUddGMN",0,"Netral"
"44","#BandingWTO adalah langkah nyata Pemerintahan Presiden Jokowi Kedaulatan Energi harus ditangan negeri sendiri. Hilirisasi bahan tambang nikel tetap berlanjut! https://t.co/Ze89o2eRRA",0,"Netral"
"45","Apresiasi dengan kinerja pemerintahan Presiden jokowi, terbaik ???? KAMI HADIR MENDUKUNG ? #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/evLrHrYOOX",0,"Netral"
"46","@cirok2 Dalam menyampaikan penyataan sikapnya, TBBR mendukung penuh pembangunan IKN di Kaltim, mendukung setiap kegiatan pemerintahan Presiden Jokowi, menjaga dan membela NKRI menuju Indonesia berharkat dan bermartabat.",0,"Netral"
"47","@satriohendri Itu semua yg ngutang pas masa pemerintahan Jokowi apa gimana bos?",0,"Netral"
"48","Pemerintahan Presiden Jokowi selalu menerima masukan apapun untuk kemajuan Indonesia #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/rJbjbuxIid",0,"Netral"
"49","Kereen bange Pak Jokowi, semoga Indonesia seakin maju di tangan pemerintahan pak Jokowi #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/y2mPDDZsI1",0,"Netral"
"50","Presiden Jokowi minta kawasan inti pusat pemerintahan di IKN segera dibangun #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/fpr4jocje6",0,"Netral"
"51","Pemerintahan Presiden Jokowi memang terbaik. Masyarakat Bangga Terhadap Presiden Jokowi.
#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri
#JokowiMajuBersamaIndonesia
#JokowiBapakInfrastruktur https://t.co/bpXLPfvLoL",0,"Netral"
"52","@Tan_Mar3M @Dh4n1eL33 @jokowi Yg suka mengeluarkan kata2 kasar dan menentang pemerintahan yg sah",0,"Netral"
"53","Food Estate gagal mulu?

Kegagalan itu terjadi terus menerus dari masa pemerintahan Soeharto hingga @Jokowi. Apa sebab?

#FoodEstate

https://t.co/c0bX1fBT9w",0,"Netral"
"54","Jempol buat Pemerintahan Presiden Jokowi bisa jaga iklim ekonomi stabil 
#JokowiPresidenku #PembangunanUntukRakyat
#PresidenJokowiHebat #JokowiMembangunNegeri
#GanjarPilihanJokowi #JokowiBapakInfrastruktur https://t.co/aVg7C0DhCZ",0,"Netral"
"55","Tahukah bapak @jokowi bagaimana bahagia nya Kami , rakyat #NKRI yang tahu sendiri cerita aslinya sendiri. Dan merasakan sendiri manfaatnya dari keputusan pemerintahan bapak yang sebelumnya di hujat habis-habisan ? #PakJokowiWithNukeMonicka #TrueStory",0,"Netral"
"56","@SantorinisSun Di masjid At Tin TMII ya...yg baru selesai direnovasi Pemerintahan Jokowi ya?
🤭🤭🤭🙈🙈",0,"Netral"
"57","Presiden Jokowi meminta kawasan inti pusat Pemerintahan di IKN segera dibangun #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/T04TkkZYxK",0,"Netral"
"58","Para Bani Kadrun, 
2023 itulah saatnya pak presiden @jokowi keluar Taring dan Tanduknya. Pertama, Sikat Habis Bani Kadrun, termasuk Penyusup di Pemerintahan. Sudah cukup Sabar Selama ini di Diamkan, demi amannya PEMILU nanti dan kedua Menyelesaikan PROYEK agar selesai tepat waktu https://t.co/zjJPrA5rXj",0,"Netral"
"59","@taharudddin Kakek ini mengikuti program kampanye Pak Jokowi yg ngga senang dgn penyaluran BLT oleh Pemerintahan SBY..🤗🤗🤗🤗🤗🤗",0,"Netral"
"60","ngaku nye anti pemerintahan jokowi , tapi sekali di kasi layanan dari beliau udah macam nyembah tuhan wkwk manusia manusia",0,"Netral"
"61","Bukti keberhasilan pemerintahan presiden Jokowi #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur #GanjarPilihanJokowi https://t.co/0mZuqtOjYp",0,"Netral"
"62","Kereen banget Pak Jokowi, semoga Indonesia seakin maju di tangan pemerintahan pak Jokowi #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/cM3p0VMiIY",0,"Netral"
"63","Pemerintahan Presiden Jokowi selalu menerima masukan apapun untuk kemajuan Indonesia #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/CbQhsZgmIm",0,"Netral"
"64","Dalam menyampaikan penyataan sikapnya, TBBR mendukung penuh pembangunan IKN di Kaltim, mendukung setiap kegiatan pemerintahan Presiden Jokowi, menjaga dan membela NKRI menuju Indonesia berharkat dan bermartabat.
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/Wv4lPlhhdV",0,"Netral"
"65","Presiden Jokowi menghimbau pemerintah untuk menginisiasi berbagai terobosan dalam meningkatkan penggunaan produk dan belanja dalam negeri. 

https://t.co/YUmf4EZct0

#PDIPERJUANGAN #UMKM #viralterbaru #Jokowi #SolidBergerak #Jabarbangkit https://t.co/LFAgEBUvCW",0,"Netral"
"66","Survey terbaru mayoritas masyarakat mengapresiasi kinerja pemerintahan Jokowi
#JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri
#JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/v1AuIDwPha",0,"Netral"
"67","Nah..apa ga khawatir para Investor inilah yg akan melanjutkan pemerintahan setelah jokowi berakhir di 2024?tak guna Anies menang nanti ketika semua sdh dipegang oleh para Oligar2 ini.. https://t.co/wf7Se4giTF",0,"Netral"
"68","@Miduk17 Anak buah nya si denny siregar mana ada yg bener wkwk, paling share nya klo ga anis yaa banjir jkt, padahal pemerintahan jokowi amburadul kaga ada yg komen haha",0,"Netral"
"69","Pemerintahan Jokowi keren banget #JokowiPresidenku https://t.co/AIVVDvjuoM",1,"Positif"
"70","@rofiaah_ @nenglia_ylw @adityajuliannn *ikutan*

Ingat, wakil presiden pemerintahan Jokowi 5 tahun lalu tidak sama dengan wakil presiden periode yang sekarang nak",-1,"Negatif"
"71","@CNNIndonesia Hallah Ben..Ben..di posisimu sekarang kamu itu digaji rakyat. Yg bayar bukan jokowi Ben..ngomong ngalor ngidul bilang lawannya adalah yg kalah dalam pilpres 2019, Prabowo maksudmu  ? Tuh, orangnya udah di pemerintahan. Bukan  ? Terus siapa  ?",0,"Netral"
"72","Empat Arahan Jokowi untuk Tingkatkan Produk Lokal https://t.co/cViuPc3HZN",0,"Netral"
"73","@DoankWarto Benar relawan jangan tinggalkan pak Jokowi sampai masa jabatan selesai, dan relawan perlu mengawal program pak Jokowi dgn memilih pemimpin kedepan yg bisa meneruskan program pemerintahan pak Jokowi",0,"Netral"
"74","Permintaan ‘Tempur’ Lawan Oposisi dari Benny Rhamdani Bisa Diartikan Sebagai ‘Cambuk’ Bagi Pemerintahan Presiden Jokowi https://t.co/74S7QafGzB",0,"Netral"
"75","@Ndranomade @Yurissa_Samosir @Tan_Mar3M @jokowi Klo gue mah penonton yg senang melihat kalian kepanasan 2 periode pemerintahan Jokowi 🤣",0,"Netral"
"76","Kalau aku sih soal perekonomian tetap manut pemerintahan Jokowi, apalagi ada bu Sri Mulyani. 

Menurut ibu yang pernah menjabat Direktur Pelaksana Bank Dunia, inflasi Indonesia relatif moderat. 

Indonesia bisa ✊ https://t.co/i9k0t0eBzd",0,"Netral"
"77","Panglima Jilah Pastikan Pasukan Merah Suku Dayak Kawal Jokowi Satu Komando https://t.co/UpYpZlw7uK",0,"Netral"
"78","TBBR mendukung setiap kegiatan pemerintahan presiden Jokowi #IbukotaNegara
#IKN
#SemangatNusantara
@ikaaqty 

@rabysuin

@vinadelgadouk8 https://t.co/bHXHHjKcL7",0,"Netral"
"79","@musniumar Saya tanya jg KPD MUSNI UMAR, APA TDK ADA YG BAIK DI MASA PEMERINTAHAN JOKOWI?",0,"Netral"
"80","KENAPA KITA HARUS PERCAYA SAMA PEMERINTAHAN INDONESIA DIBAWAH KOMUNIS GAYA BARU @jokowi DAN @luhutbp YANG AKAN MEMAKSAKAN VACSIN COVID-19?
LAWAN!
LAWAN!
LAWAN!
#JokowiAnjingKomunisBangsat harus dilawan!
#LuhutAnjingPekingPenipu harus dilawan!
VACSIN TIDAK MENCEGAH
VACSIN PEMBUNUH https://t.co/ODnWwNAjeD",0,"Netral"
"81","#TigaPeriodeMbahmu 
Pidato jokowi, memperlihatkan jokowi tdk memiliki kepercayaan diri dan menunjukan telah terjadi suatu kesalahan dan kegagalan dlm menjalankan pemerintahan, dan kenapa pendukung jokowi menyebut jkw dg sebutan jokodok?? https://t.co/Yng91KP5TS",0,"Netral"
"82","@petruspasaribuu SD sich, kalau dah ga kepakai ngomongnya ya begitu. Waktu di dalam Pemerintahan siapa dulu Bosnya. Orang2 spt ini masa Jokowi pasti tidak laku, karena sdh taulah orang2 dg beliau.",-1,"Negatif"
"83","@Madebylaluna @SantorinisSun Gara2 pemerintah cuma larang organisasi2 mereka saja, tp pengikut2nya dibiarkan. Kalo sy mau kritik, pemerintahan Jokowi sangat tdk tegas thd kasus hukum dan memble pd jargon revolusi mental.",0,"Netral"
"84","@Danki_Cebong @sindai_salie @anakranto64 @jokowi Sejak terjadinya gempa cianjur... Makin disadarkan adanya sesar aktif di jabar membahayakan pemerintahan pusat jakarta bila terjadi gempa... Ibu kota baru di kalimantan memang solusinya.",0,"Netral"
"85","Jokowi memimpin rapat terbatas untuk membahas perkembangan hukum pidana yang disepakati dalam rapat paripurna pemerintahan DPR.
#PercepatPembangunanIKN #EkonomiPulih https://t.co/ZaKQi7Pwqa",0,"Netral"
"86","@papa_loren Sudah direncanakan dan sudah disiapkan Tito meski langgar UU.
INI ERA JOKOWI bro!

https://t.co/Wpc5NUabfc

SE Nomor 821/5292/SJ melanggar Pasal 14 ayat 7 UU no. 30/2014 tentang Administrasi Pemerintahan yang melarang Pj Kepala Daerah membuat kebijakan dalam kepegawaian",0,"Netral"
"87","@YudyaEko @su7loo @Mdy_Asmara1701 Saya bukan pendukung Anies dan bukan orangnya Anies. Pemerintahan Jokowi memang harus segera dihentikan berdasarkan konstitusi negara dan tap MPR RI tahun 2002 presiden tidak disukai rakyat silakan mundur",-1,"Negatif"
"88","@NovalAssegaf Gubernur boneka,misinya ngorak Arik tata pemerintahan DKI,jangan2 mbawa misi jokowi",0,"Netral"
"89","Benar.dan itu terdapat juga utang warisan SBY yg mengunung kebanyakan di korupsi SBY dan Croninya.tapi beda fungsi di masa pemerintahan Presiden Jokowi di peruntukan dgn pembangunan yg masif.Prestasi itu yg selalu di bawah Pecundang Politik yg seolah buta tak mengetahuinya https://t.co/Qru68CluaF https://t.co/ExYpWdQJ26",0,"Netral"
"90","@Leonita_Lestari Jokowi. Digempur habis2an dri luar soal hasil bumi Indonesia. Tapi dr dalam digempur habis2an oleh rakyat sendiri soal urusan receh. Meskipun sdah rahasia umum semua itu ada bohir dan kepentingannya.

Soal mempertahankan kekayaaan Indonesia saya salut sama pemerintahan jokowi",0,"Netral"
"91","Masjid Bernuansa Hindu dibangun pada masa pemerintahan R. Tumenggung Sosro Kusumo, tahun 1745 M merupakan bupati pertama Nganjuk. Masjid ini diberi nama Al-Mubarok.
#NganjukKotaAngin
#TPPJatim
#TPPMagetan
@jokowi 
@halimiskandarnu https://t.co/Ond1oircbX",0,"Netral"
"92","@herinurwahyudi @jokowi Kami orang kalimantan tidak bisa di adu domba, kami selalu mendukung pemerintahan yang SAH. 
Kami akan jaga tanah leluhur kami.",-1,"Negatif"
"93","Begini seorang pemimpin mengelola pemerintahan. Ada kriteria kinerja, visi dan program yg ingin dicapai. Tidak main ganti hanya karena alasan personal. 

Beda jauh kualitas pa Anies dan pj gubernur Heru (yg ditunjuk jokowi) 

Iran | England | Senegal https://t.co/sDLJ9tSSwB",0,"Netral"
"94","pemerintahan yg gagal. selama era jokowi rupiah dari 12 rb an ke 16 ribuan. anjok 4 ribu = 30% https://t.co/SPxpOOzMrp",0,"Netral"
"95","@republikaonline pemerintahan yg gagal. selama era jokowi rupiah dari 12 rb an ke 16 ribuan. anjok 4 ribu = 30%",0,"Netral"
"96","PROFICIAT PEMERINTAHAN @jokowi
: Betapa Bangganya @ProfylHenuk Yang Pernah Jadi Korban/Dipenjara, Karena ""PENCEMARAN NAMA BAIK""(https://t.co/nCxZEu9m5n)  Walau PLEDOI Sudah Bagus, Tapi HAKIM Diduga Bela Yang Membayar, Apalagi Terdakwa Sudah ""MINTA MAAF"" (https://t.co/foDvAyzKgn).",0,"Netral"
"97","@radixwp Ketika ada 2x pemberontakan PKI yg merongrong negara, dan masih besar pengaruhnya di pemerintahan Jokowi malah kamu bela &amp; dukung.
Masih ada payung hukum TAP MPR yg melarang PKI

Pemberontakan DITII dimasa silam malah ditarik ke ra sekarang dan dijadikan dasar islamophobia !!",0,"Netral"
"98","@Ndranomade @Yurissa_Samosir @Tan_Mar3M @jokowi Makanya kalo berpolitik itu jgn pake perasaan bro jdinya ga tenang kan hidup
Mereka yg duduk di pemerintahan ketawa ketiwi sementara lo malah sakit hati 🤣🤣🤣",0,"Netral"
"99","Presiden Joko Widodo (Jokowi) mengatakan pembangunan gedung pemerintahan, kementerian hingga istana negara di IKN Nusantara, Kalimantan Timur, mulai Desember. https://t.co/Xtk73zpbNo",0,"Netral"
"100","Lebih dalam, Agustinus menyebut, Pasukan Merah berkomitmen mendukung dan mengawal penuh segala bentuk kebijakan di era Pemerintahan Presiden Jokowi.",0,"Netral"
"101","BRI tercatat mampu mencatatkan kinerja positif dengan capaian pertumbuhan kredit di segmen mikro hingga 14,12% Year on Year (YoY) pada kuartal III tahun 2022.

Peningkatan kredit mikro ini bisa sebagai pengungkit perekrutan. 

Pemerintahan Jokowi gas pol pemulihan ekonomi https://t.co/zoJdb66jaV",1,"Positif"
"102","@alisyarief Kurnia Ramadhana. LL.B.
Indonesia Corruption Watch (ICW) 

Ada 67 Pendukung Jokowi Isi Kursi Kabinet hingga Komisaris BUMN.

""Pemerintahan Jokowi dibayangi konflik kepentingan yang menjadikan pintu masuk tindak pidana korupsi""

https://t.co/oRwTs9VAkw",0,"Netral"
"103","@mikuroQ Maaf mau tanya dia bagian apa sih dari pemerintahan pak Jokowi?",0,"Netral"
"104","@keuangannews_id Kalian emang ga mampu menerjemahkan kata kata JK...
PAK JOKOWI GA BISA DIDIKTE OLEH PAK JK...
Ingat jaman Pemerintahan pak SBY- JK? ada istilah MATAHARI KEMBAR?
Disini jelas pak SBY kalah pamor dan kalah dalam mengambil kebijakan oleh pak JK, maka periode ke 2 ganti WAPRES.",0,"Netral"
"105","Ketua DPP PKB membantah @Andiarief__ soal Jokowi masuk fase Bebek Lumpuh. Menurutnya, Jokowi masih kendalikan penuh pemerintahan.
https://t.co/ckuAYeCzPY",0,"Netral"
"106","@geloraco Bagi kami apa yg di katakan Pak Beni ada benarnya koq wong menyerang pemerintahan ini kan gak suka karna mungkin ATM mereka sudah di tutup oleh Pak Jokowi .. atau ada yg di sikat hartanya karna sebagian korupsi atau juga karna gak mau bayar utang ke negara ..contoh lumpur lapindo",0,"Netral"
"107","Jokowi Minta KORPRI Inovatif &amp; Terapkan 'e-Government' https://t.co/kkZKqfmkUP",0,"Netral"
